article_id,title,sentence,subject,object,relation
A0001,11월 기록적 폭설에 車사고 60% 급증…보험료 인상 조짐,전날 갑작스러운 폭설로 차가 고장난 경우가 늘고 결빙으로 인한 교통사고가 급격히 증가한 데 따른 결과로 분석된다.,전날갑작스럽폭설차 장난경우 교통사고,,늘 결빙인하 따르
A0002,"방시혁 '하이브 상장' 前 주주 간 계약 논란…금감원 ""조사 여부 검토""",금융감독원이 하이브 상장 과정에서 방시혁 의장과 사모펀드(PEF) 사이 체결된 주주 간 계약 과정에서 법령 위반 소지가 있는지 검토에 들어갔다.,금융감독원 사이체결주주간계약과정법령위반소지,,들어가
A0002,"방시혁 '하이브 상장' 前 주주 간 계약 논란…금감원 ""조사 여부 검토""",IPO로 사모펀드들이 일정 규모 이상의 주식 매각 차익을 보면 일부를 방 의장에게 나눠주기로 하는 계약을 맺은 것이다.,사모펀드,일정규모이상주식매각차익 일부 방의장계약,보 나누 맺
A0002,"방시혁 '하이브 상장' 前 주주 간 계약 논란…금감원 ""조사 여부 검토""","금감원은 이 같은 주주 간 계약이 정당한 것인지, 증권신고서에 이 같은 내용을 기재하지 않은 것에 법적 책임이 있는지 등을 검토하고 있다.",금감원같주주간계약 기재것법책임,증권신고서같내용 등,
A0002,"방시혁 '하이브 상장' 前 주주 간 계약 논란…금감원 ""조사 여부 검토""",우선 금감원은 증권신고서상 기재가 필요한 내용인지를 보기 위해 공시심사실을 중심으로 선례를 살필 예정이다.,금감원증권신고서기재,필요내용인지 공시심사실 중심선례,보 살피
A0002,"방시혁 '하이브 상장' 前 주주 간 계약 논란…금감원 ""조사 여부 검토""","주주 간 계약 체결 과정상의 문제를 보려면 불공정거래 조사에 착수해야 해, 조사가 필요한 사안인지 여부도 검토한다.",조사,주주간계약체결과정문제,보
A0002,"방시혁 '하이브 상장' 前 주주 간 계약 논란…금감원 ""조사 여부 검토""","한편 하이브는 이날 해명공시를 내고 ""상장 준비 과정에서 상장 주관사들에 해당 주주간계약을 제공한 바 있고, 상장 주관사들 또한 상장 관련 법령에 따라 해당 주주간계약을 검토했다""며 ""이와 관련해 상장 과정에서 당사가 관련 법령을 위반한 사항은 없다고 판단하고 있다""고 밝혔다.",이관련상장과정당사,한편하이브이날해명공시 상장준비과정상장관사해당주주간계약 상장관사상장관련법령해당주주간계약 관련법령,내 따르 밝히
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]","이처럼 경제 상황이 어려워진 국가들이 많아진 만큼, 비트코인 매수 전략을 택하는 투자자들이 늘어날 것이란 전망이다.",이경제상황 어렵국가 투자자,비트코인매수전략,늘어나
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]","번스타인 ""현금 쌓아둔 미 중소기업, 마이크로스트래티지 전략 택할 듯"" 현금을 쌓은 미국 중소기업들이 비트코인에 투자할 수 있다는 전망이 나왔다.",미국중소기업 비트코인투자수전망,현금,쌓 마이크로스트래티지전략택하 쌓 나오
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]","주류 사업을 통한 매출 비중이 훨씬 크기 때문""이라고 분석했다.",매출비중,주류사업,
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]",반면 잉여 현금이 있는 중소기업은 다르다는 분석도 더했다.,반면잉여현금,,중소기업다르분석더하
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]","번스타인은 ""핵심 사업이 약화되고 있으나 현금을 쌓아둔 중소기업의 경우, 마이크로스트래티지의 비트코인 매수 전략을 택할 수 있다""고 내다봤다.",핵심사업,약화현금 마이크로스트래티지의비트코인매수전략,쌓 내다보
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]","미 소프트웨어 기업 마이크로스트래티지는 현재 단일 기업 기준 가장 많은 비트코인을 보유하고 있으며, 꾸준히 수익권에 있는 상태다.",,미소프트웨어기업마이크로스트래티지단일기업기준많비트코인,
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]","이에 엑스티닷컴은 ""거래소 자산이 의심스러운 주소로 송금됐다""며 사실상 해킹을 시인했다.",거래소자산,사실해킹,
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]",펙실드에 따르면 해커는 이미 탈취한 자산을 이더리움(ETH)으로 교환한 것으로 확인됐다.,,펙실드해커탈취자산,따르
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]",장비를 계속 업그레이드해야만 수익성을 유지할 수 있기 때문이다.,,장비 업그레이드수익,
A0004,"비트코인, 9만5000달러대서 횡보…연말 10만달러 갈까[코인브리핑]",조달한 자금의 대부분은 장비 업그레이드에 쓰이고 있다.,,,쓰이
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연",여기에 계좌 연동 고객을 위한 지원금까지 새롭게 제공한다.,,여기계좌연동고객,
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연","불편보상금은 설문에 참여한 고객을 대상으로 지급되며, 불편사항과 개선점을 기재하면 된다.",,불편보상금설문참여고객 불편사항개선점,
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연",빗썸 관계자는 “빗썸 앱을 통한 비대면 계좌 개설과 연동 절차를 혁신적으로 개선해 이용자의 접근성과 편의성을 크게 높였다”며 “앞으로도 지속적인 개선을 통해 이용자들의 거래 장벽을 낮추고 불편을 최소화하는 고객 중심 서비스를 제공할 계획”이라고 말했다.,,비대계좌개설연동절차 혁신개선이용자접근성편의 앞으로지속개선 이용자거래장벽 불편 최소고객중심서비스,관계자통하 높이 낮추
